Time,xPos,yPos,zPos,u,w,q,theta,Elevator Angle
1.883286953,-8.241038237,-0.074014841,1.49727984,-0.045105031,0.01735369,0.085749046,0.009658127,1.27275776
1.891541004,-8.241292493,-0.074064203,1.497366296,-0.042800968,0.019112057,0.094870301,0.010448713,1.362392033
1.89973712,-8.24151831,-0.074126218,1.497524807,-0.041597641,0.015946712,0.085668475,0.011162617,1.348178949
1.90793705,-8.241722668,-0.074167558,1.49764894,-0.041123206,0.010192247,0.055874574,0.011628238,1.203936547
1.916514158,-8.241898364,-0.074202564,1.49777794,-0.037863946,0.011785605,0.037819254,0.011943399,1.1031252
1.925621986,-8.242056267,-0.07423042,1.497901847,-0.036222448,0.006840617,-0.008374098,0.011873615,0.825941461
1.933746099,-8.242208622,-0.074274723,1.49802757,-0.033474012,0.007513582,-0.040124633,0.011539243,0.609172889
1.941318989,-8.242364974,-0.074323515,1.498171996,-0.035522492,0.005091155,-0.050428312,0.011119007,0.534197228
1.950272083,-8.242519298,-0.0743839,1.49834009,-0.033548991,0.006373982,-0.059844874,0.0106203,0.440178154
1.958320141,-8.242696075,-0.074446621,1.498490265,-0.032611104,0.002932073,-0.067780162,0.010055465,0.357405726
1.966486931,-8.242895752,-0.074546981,1.49867237,-0.034027199,0.004901206,-0.055581368,0.009592287,0.405597639
1.974961042,-8.243118694,-0.074667642,1.498865057,-0.032949892,0.002271052,-0.054818347,0.009135467,0.378810293
1.983256102,-8.24337203,-0.074812861,1.499072377,-0.035195035,-0.002500004,-0.053863224,0.008686607,0.369283637
1.991475105,-8.243637345,-0.074967762,1.499311214,-0.037906318,-2.39E-05,-0.007323969,0.008625574,0.646394501
1.999943018,-8.243895864,-0.07514231,1.499527917,-0.03588403,-0.002688921,-0.02862112,0.008387065,0.500699365
2.008160114,-8.244184706,-0.075313122,1.499729286,-0.030911656,-0.000899693,-0.042491591,0.008032968,0.376065968
2.01642704,-8.244484299,-0.075476127,1.499956722,-0.033778029,-0.00030686,-0.024429661,0.007829388,0.480957711
2.02472806,-8.244790115,-0.075614318,1.500154771,-0.033598124,-0.01061181,-0.109712966,0.006915113,-0.065050946
2.03350997,-8.245080841,-0.075754754,1.500348188,-0.035644609,-0.005374336,-0.067311755,0.006354182,0.153735416
2.04124999,-8.245381092,-0.075891698,1.500546456,-0.033768823,-0.013586954,-0.145126612,0.005144793,-0.375217278
2.049844027,-8.245676568,-0.076043259,1.500767107,-0.036572719,-0.012186178,-0.097060714,0.004335954,-0.133522441
2.058387995,-8.24601382,-0.076173604,1.500949469,-0.036355268,-0.00946916,-0.097999293,0.003519293,-0.190415992
2.066209078,-8.246346141,-0.076283314,1.501107476,-0.038829926,-0.017727151,-0.114991355,0.002561032,-0.332224036
2.074659109,-8.246678764,-0.076389595,1.501286227,-0.040814469,-0.01302622,-0.087281346,0.001833687,-0.208710007
2.082929134,-8.247018072,-0.076465627,1.501469394,-0.040625819,-0.015447366,-0.053217585,0.001390207,-0.037753319
2.091619968,-8.24738069,-0.076491072,1.501612872,-0.039352242,-0.023347557,-0.080041128,0.000723198,-0.235762018
2.099740982,-8.247750673,-0.076493816,1.501781571,-0.04104366,-0.019796017,-0.054277167,0.000270888,-0.107726687
2.109019041,-8.248127927,-0.076516384,1.501922549,-0.040837237,-0.020993534,-0.051339752,-0.000156943,-0.116917809
2.116477966,-8.248486247,-0.076523151,1.50207808,-0.044014236,-0.023919978,-0.030720642,-0.000412948,0.00254628
2.124580145,-8.248834355,-0.076503787,1.502207092,-0.045803928,-0.031786263,-0.022489538,-0.000600361,0.050320467
2.132903099,-8.249178013,-0.07646861,1.502288037,-0.046514776,-0.034108173,0.026340123,-0.00038086,0.350866398
2.141410112,-8.249494697,-0.076457059,1.502382475,-0.047346539,-0.037948857,0.034921586,-8.98E-05,0.423554822
2.149987936,-8.249797206,-0.07642702,1.502435892,-0.047016932,-0.038972287,0.057616947,0.000390294,0.583121383
2.158514023,-8.25007686,-0.076381601,1.502495282,-0.048940293,-0.046475768,0.051837667,0.000822275,0.587487855
2.166178942,-8.250373334,-0.076297942,1.502534414,-0.051001615,-0.055906766,0.018138448,0.000973429,0.414462148
2.175395012,-8.250653457,-0.076247555,1.502584559,-0.049760135,-0.048819287,0.072199379,0.00157509,0.755657453
2.183313131,-8.250925449,-0.0761854,1.502606259,-0.044641367,-0.060747195,-0.074808386,0.000951687,-0.151885143
2.191298962,-8.251209387,-0.076106667,1.50264438,-0.037207747,-0.062211486,-0.122285835,-6.74E-05,-0.521025971
2.199919939,-8.251484131,-0.076022942,1.502660796,-0.037876134,-0.07329605,-0.105996552,-0.000950666,-0.472111806
2.208611012,-8.251777231,-0.075937512,1.502637416,-0.037892523,-0.066224453,-0.056421141,-0.001420843,-0.216049444
2.216354132,-8.252093104,-0.07585802,1.502634492,-0.044340447,-0.06846858,-0.048112697,-0.001821782,-0.162508278
2.225096941,-8.252391939,-0.075777173,1.502609577,-0.045321374,-0.061047887,-0.012796178,-0.001928417,0.036949623
2.233370066,-8.252649467,-0.075727441,1.502600011,-0.041182848,-0.05971785,-0.136144095,-0.003062951,-0.765689649
2.241511106,-8.252930922,-0.075723577,1.50259525,-0.039146151,-0.064315659,-0.237176894,-0.005039425,-1.477866274
2.249810934,-8.253210288,-0.075671959,1.502504884,-0.037558997,-0.060256271,-0.217504113,-0.006851959,-1.482030478
2.258495092,-8.253507036,-0.075660469,1.502458212,-0.041709196,-0.060547504,-0.229261448,-0.008762471,-1.647014257
2.266426086,-8.253787857,-0.075615245,1.502343541,-0.040613289,-0.05765989,-0.293742222,-0.011210323,-2.174795748
2.274989128,-8.254092186,-0.075620832,1.502240669,-0.04858036,-0.053071283,-0.180693263,-0.0127161,-1.576874468
2.28324008,-8.254394867,-0.075603301,1.502160693,-0.053546497,-0.047056249,-0.145859643,-0.013931597,-1.428876151
2.291628122,-8.254718071,-0.075584582,1.502012139,-0.059249995,-0.036730145,-0.025368102,-0.014142998,-0.722192112
2.299690962,-8.255057992,-0.075552214,1.501902964,-0.068105941,-0.034224351,0.084997692,-0.013434684,-0.0013095
2.307878971,-8.255396361,-0.075500175,1.501773765,-0.074961511,-0.023725898,0.221023377,-0.011592822,0.92444142
2.316328049,-8.255724155,-0.075419483,1.501578965,-0.078832282,-0.009592874,0.362849847,-0.008569074,1.940361453
2.325046062,-8.256066141,-0.075342783,1.501413906,-0.076776139,-0.011246554,0.304422499,-0.00603222,1.746338353
2.333196163,-8.256406479,-0.075274542,1.501239013,-0.081879862,-0.006901437,0.353284931,-0.003088178,2.228139677
