Time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,elevAngle
2.309074163,-0.876988453,-0.073274113,1.464179617,0.007529674,0.022822908,-0.013462256,0.108982123,0.019583835,1.556731124,-0.054089059,-0.061346946,0.02011316,-8.717371094
2.316485167,-0.876975786,-0.073098246,1.464083045,0.001520071,0.021104041,-0.011588654,0.108675898,0.018974165,1.556789963,-0.036746977,-0.073160372,0.007060648,-8.709556746
2.325042963,-0.876971181,-0.072912103,1.464002126,0.000552586,0.022337255,-0.009710356,0.108686681,0.018375336,1.556783254,0.001293999,-0.071859534,-0.000805037,-8.713572097
2.334313154,-0.876941998,-0.072691873,1.463919915,0.00350202,0.026427612,-0.009865326,0.10878433,0.017803157,1.556747207,0.011717862,-0.068661525,-0.004325638,-8.710092789
2.341681004,-0.876958819,-0.072485944,1.463828473,-0.002018611,0.024711473,-0.010972974,0.10884648,0.017327611,1.556569089,0.007458033,-0.057065467,-0.021374179,-8.706229788
2.350790977,-0.876963727,-0.072253847,1.463727103,-0.000588934,0.027851597,-0.012164378,0.108925495,0.016876381,1.556300705,0.009481769,-0.054147638,-0.032206031,-8.711001495
2.358448982,-0.876925502,-0.072008619,1.463649786,0.004587008,0.029427356,-0.009278138,0.109098729,0.016545642,1.5559356,0.020788045,-0.039688608,-0.043812627,-8.717850342
2.366896152,-0.876926642,-0.071762596,1.463564433,-0.000136835,0.029522796,-0.010242329,0.109211685,0.016295926,1.555429539,0.013554787,-0.029965926,-0.060727287,-8.7246732
2.375236034,-0.876912228,-0.071490558,1.463481086,0.001729774,0.03264456,-0.010001597,0.109057338,0.01611431,1.554844752,-0.018521697,-0.021793979,-0.070174506,-8.722040601
2.383413076,-0.876852262,-0.071233923,1.463412179,0.007195929,0.030796216,-0.008268832,0.109072013,0.016088131,1.554198671,0.001761005,-0.003141487,-0.077529743,-8.72718728
2.391458035,-0.876837132,-0.070990696,1.463367097,0.00181552,0.02918722,-0.005409837,0.109040596,0.016219179,1.553438263,-0.003770056,0.015725729,-0.091248923,-8.718011365
2.400202036,-0.876819606,-0.07072754,1.463345881,0.002103193,0.03157867,-0.002545915,0.108982171,0.016562958,1.552517929,-0.007010965,0.041253512,-0.110440067,-8.719255461
2.408506155,-0.876768663,-0.070486637,1.46332083,0.006113073,0.028908431,-0.003006197,0.108902839,0.016917665,1.55161519,-0.009519794,0.0425649,-0.108328706,-8.713100619
2.417199135,-0.876781634,-0.070277411,1.463302299,-0.001556416,0.025107072,-0.002223727,0.108874707,0.017225524,1.550679947,-0.003375863,0.036943081,-0.11222909,-8.711102333
2.425204992,-0.876791577,-0.070039787,1.463307935,-0.001193169,0.028514902,0.000676357,0.108911407,0.017954647,1.549911915,0.004403988,0.087494684,-0.092163855,-8.707344142
2.433151007,-0.876785924,-0.069846041,1.463316019,0.000678335,0.023249438,0.000970117,0.109086997,0.018209159,1.54927196,0.021070827,0.030541474,-0.076794693,-8.69930414
2.441606998,-0.876840023,-0.06968221,1.463326493,-0.006491932,0.019659804,0.001256901,0.109222231,0.01822209,1.548791595,0.016228065,0.001551698,-0.057643779,-8.684224395
2.450214148,-0.876894089,-0.069508805,1.463333867,-0.006487874,0.020808556,0.00088482,0.10939773,0.018065066,1.548510288,0.021059847,-0.018842904,-0.033756763,-8.682312551
2.458599091,-0.876928136,-0.069329116,1.463349705,-0.004085636,0.021562675,0.001900604,0.109699423,0.017792125,1.548404567,0.036203166,-0.032752905,-0.012686585,-8.676015122
2.467024088,-0.877025778,-0.069168331,1.463356801,-0.011717091,0.019294249,0.000851516,0.110002325,0.017387252,1.54840625,0.036348269,-0.048584665,0.000202022,-8.66512387
2.474810123,-0.877119832,-0.069001132,1.463380926,-0.011286432,0.020063795,0.002894943,0.11038128,0.016979061,1.548605216,0.045474527,-0.048982922,0.023875864,-8.658557067
2.483947992,-0.877201908,-0.068828195,1.463396756,-0.009849172,0.020752514,0.001899574,0.110849855,0.016534383,1.548901687,0.056229055,-0.053361436,0.035576585,-8.654734067
2.491475105,-0.87734167,-0.068678199,1.463391606,-0.016771396,0.017999481,-0.000618004,0.11128749,0.016029426,1.549287659,0.052516157,-0.060594809,0.046316551,-8.641972228
2.500681162,-0.877454437,-0.068493673,1.463413288,-0.013532103,0.022143087,0.00260188,0.111884687,0.015549653,1.549714977,0.071663707,-0.057572802,0.051278203,-8.640181218
2.50831008,-0.877544109,-0.068305609,1.463409061,-0.010760556,0.022567678,-0.000507257,0.112367444,0.015081916,1.550241249,0.057930759,-0.056128381,0.063152583,-8.633431731
2.517276049,-0.877677208,-0.068119205,1.46338693,-0.015971948,0.022368529,-0.002655649,0.11271748,0.01461513,1.550627802,0.042004412,-0.05601431,0.046386368,-8.627519908
2.525709152,-0.877789088,-0.067884719,1.463387282,-0.01342558,0.028138301,4.22E-05,0.113157357,0.014399813,1.550975601,0.052785182,-0.025838087,0.041735959,-8.624623836
2.533331156,-0.877873972,-0.067642464,1.463360422,-0.01018612,0.029070651,-0.003223142,0.113473062,0.014152945,1.55127078,0.03788456,-0.029624138,0.03542142,-8.626320855
2.541846991,-0.878011482,-0.067387438,1.463352212,-0.016501099,0.030603053,-0.00098527,0.113867745,0.014212007,1.551377282,0.047361963,0.007087457,0.012780221,-8.609485616
2.550114155,-0.878135295,-0.067127551,1.463335723,-0.014857563,0.031186497,-0.00197861,0.114257417,0.01425222,1.551414574,0.046760742,0.004825486,0.004475136,-8.610648017
2.559059143,-0.878216678,-0.066851261,1.463315956,-0.009765964,0.033154802,-0.00237201,0.114677288,0.014601743,1.551277265,0.050384518,0.041942773,-0.016477177,-8.605545806
2.56713295,-0.878347357,-0.066579224,1.463317186,-0.015681533,0.0326444,0.000147551,0.115262096,0.015146241,1.5509905,0.07017688,0.065339838,-0.034411729,-8.600811708
2.575345039,-0.878450639,-0.0662662,1.463340674,-0.012393831,0.037562933,0.002818586,0.116007115,0.015998438,1.550499764,0.089402348,0.102263625,-0.058888289,-8.592273404
2.583923101,-0.878525769,-0.065966295,1.463366495,-0.009015629,0.035988604,0.003098535,0.116630306,0.016729779,1.549972541,0.074782895,0.087760948,-0.063266873,-8.587255048
2.591919184,-0.878664345,-0.065669852,1.463368296,-0.016629131,0.035573092,0.000216104,0.117251717,0.017575808,1.549368438,0.074569345,0.101523432,-0.07249233,-8.579068623
2.600806952,-0.878762689,-0.06531955,1.4633802,-0.011801248,0.042036323,0.001428397,0.117829417,0.01849907,1.548779507,0.06932396,0.110791422,-0.070671733,-8.581298442
2.60862112,-0.878857432,-0.064982853,1.463364032,-0.011369193,0.040403576,-0.001940089,0.118521705,0.01906986,1.548233876,0.083074579,0.06849476,-0.065475631,-8.579656172
2.616674185,-0.878973167,-0.064677478,1.463345478,-0.013888175,0.036644992,-0.00222651,0.119054724,0.019667101,1.547796101,0.063962275,0.071668925,-0.052533101,-8.572824905
2.624860048,-0.879054938,-0.064347878,1.463320087,-0.009812526,0.039552028,-0.003046959,0.119702756,0.020106232,1.547382034,0.077763858,0.052695731,-0.049688024,-8.560984326
2.633252144,-0.879097183,-0.063998798,1.463296572,-0.005069315,0.041889559,-0.002821752,0.120345753,0.020569751,1.546981398,0.077159614,0.055622267,-0.048076247,-8.553443261
2.641795158,-0.879144472,-0.063681875,1.463258796,-0.005674698,0.038030777,-0.004533149,0.120772077,0.020868782,1.546648775,0.051158919,0.035883789,-0.039914744,-8.551642117
2.650104046,-0.879138366,-0.063367483,1.463207094,0.000732684,0.037727034,-0.006204159,0.12103543,0.021113346,1.546346855,0.031602321,0.029347675,-0.03623046,-8.552988959
2.658868074,-0.879103203,-0.063055183,1.463121621,0.004219597,0.037475992,-0.010256785,0.120995143,0.021233772,1.546143407,-0.004834416,0.014451116,-0.024413743,-8.532749534
2.666754007,-0.879087324,-0.062763696,1.463053081,0.001905462,0.034978433,-0.008224884,0.120749056,0.021368383,1.54594132,-0.029530504,0.016153352,-0.024250388,-8.527984968
2.675006151,-0.879021469,-0.062459524,1.462995361,0.00790262,0.036500719,-0.006926376,0.120469049,0.021562041,1.545670675,-0.033600852,0.023238905,-0.03247747,-8.5222476
2.683463097,-0.878916782,-0.062186914,1.462933368,0.012562346,0.032713217,-0.007439135,0.120198978,0.021664129,1.545395689,-0.032408524,0.012250527,-0.032998357,-8.512973621
2.692481041,-0.878849109,-0.061934572,1.462875722,0.008120844,0.030280985,-0.006917454,0.119933794,0.021689441,1.545071145,-0.031822025,0.003037429,-0.038945206,-8.500755757
2.700003147,-0.878738014,-0.061675662,1.462836151,0.013331404,0.031069157,-0.004748569,0.119758086,0.021731956,1.544723293,-0.021084974,0.005101792,-0.041742253,-8.512841303
2.708589077,-0.87860646,-0.061456822,1.462783158,0.015786423,0.026260863,-0.006359169,0.119700745,0.0217055,1.54438393,-0.006880919,-0.003174617,-0.040723575,-8.496610584
2.716705084,-0.878515241,-0.061277048,1.462743486,0.010946292,0.021572888,-0.004760641,0.119668971,0.021623973,1.544059734,-0.003812931,-0.009783271,-0.038903459,-8.498219596
2.72490716,-0.878367779,-0.061085939,1.462705226,0.017695511,0.022933064,-0.004591237,0.11968651,0.02150771,1.543782191,0.002104708,-0.013951602,-0.033305251,-8.500356308
2.733642101,-0.878218288,-0.060927656,1.462670814,0.017938917,0.018993979,-0.004129356,0.119860063,0.021287698,1.543627634,0.020826436,-0.026401376,-0.018546839,-8.50825794
2.742064953,-0.878108041,-0.06079362,1.462641851,0.013229601,0.016084264,-0.003475663,0.120142021,0.021005562,1.543580052,0.03383487,-0.033856339,-0.005709855,-8.508375034
2.750102997,-0.877948872,-0.060645736,1.462628943,0.019100248,0.017746107,-0.001548846,0.120421372,0.020775036,1.543578758,0.033522151,-0.027663147,-0.00015523,-8.515142529
2.758893967,-0.877760256,-0.060535414,1.462565769,0.022633994,0.013238627,-0.007580938,0.120458307,0.020289016,1.543731652,0.00443225,-0.058322406,0.018347287,-8.521535114
2.767110109,-0.877592742,-0.060446122,1.462533473,0.020101596,0.010715068,-0.003875521,0.120659665,0.019888367,1.54382274,0.024162864,-0.048077838,0.010930545,-8.526341092
2.77522397,-0.877381547,-0.06034455,1.462498918,0.02534341,0.012188571,-0.004146652,0.120824506,0.019527922,1.543929314,0.019780957,-0.043253449,0.012788906,-8.534289357
2.784152031,-0.877147511,-0.060294387,1.462463287,0.028084331,0.006019606,-0.004275623,0.120961901,0.019161308,1.544093486,0.016487402,-0.043993644,0.019700674,-8.542135282
2.791913986,-0.876934983,-0.060287676,1.462407585,0.025503394,0.000805347,-0.006684227,0.120898058,0.018825564,1.544245005,-0.007661099,-0.04028929,0.018182197,-8.549852787
2.799951077,-0.87666908,-0.060274006,1.462362245,0.031908318,0.001640368,-0.005440818,0.120842948,0.018608169,1.544472629,-0.006613281,-0.026087342,0.02731487,-8.566776613
2.808532,-0.876349188,-0.060277635,1.462308872,0.038387096,-0.000435516,-0.006404774,0.120639457,0.018396358,1.544557259,-0.024418891,-0.025417389,0.010155652,-8.577146244
2.817063093,-0.876071067,-0.060319087,1.462276958,0.033374436,-0.004974249,-0.003829698,0.120365514,0.018358045,1.544621816,-0.032873108,-0.004597536,0.007746779,-8.587763983
2.825664043,-0.8757403,-0.060313707,1.46225431,0.03969211,0.000645631,-0.002717788,0.12002546,0.018320056,1.544700972,-0.040806513,-0.004558722,0.00949879,-8.599962517
2.83325696,-0.875397129,-0.060358445,1.462221654,0.04118053,-0.005368494,-0.00391871,0.119620344,0.018382018,1.544910624,-0.048613981,0.007435451,0.025158198,-8.61690695
