Time,xPos,yPos,zPos,xVel,yVel,zVel,ptich,roll,yaw,pitchVel,rollVel,yawVel,elevAngle
1.716640949,-1.475386546,-0.118131166,1.420823742,-0.055541838,0.047347965,0.008829356,0.067611735,0.06841761,1.523674034,0.025054374,0.098012857,0.060430356,-2.876795605
1.725188017,-1.475813307,-0.117726431,1.420932824,-0.051211295,0.048568222,0.013089914,0.068406205,0.069382586,1.524115438,0.095336459,0.115797135,0.052968512,-2.869174476
1.733533859,-1.476221237,-0.117358381,1.421016174,-0.04895163,0.044166026,0.010001959,0.069017502,0.070342297,1.524611393,0.073355679,0.115165418,0.059514511,-2.861096001
1.741667986,-1.476595089,-0.116973424,1.421073452,-0.044862206,0.046194817,0.006873341,0.069421361,0.07127973,1.525219596,0.048462981,0.112491942,0.072984375,-2.852073482
1.75,-1.476938748,-0.116602274,1.421129825,-0.041239016,0.044538005,0.006764777,0.06996634,0.072202999,1.525816592,0.06539748,0.11079218,0.071639507,-2.85533467
1.758309841,-1.477284151,-0.116229418,1.421176391,-0.041448395,0.044742752,0.005587923,0.070513629,0.073060162,1.526507911,0.065674767,0.102859613,0.08295834,-2.856286287
1.766823053,-1.477577629,-0.115840569,1.421193366,-0.035217342,0.046661881,0.002036949,0.071056951,0.073718973,1.527203773,0.065198555,0.079057353,0.083503441,-2.848656946
1.775002956,-1.477852908,-0.115482385,1.421217318,-0.033033519,0.042982031,0.002874355,0.071494037,0.074412883,1.52794476,0.052450366,0.083269151,0.088918408,-2.847730557
1.783171892,-1.478112011,-0.11513067,1.42120938,-0.031092324,0.042205768,-0.00095256,0.071852103,0.074973187,1.528707928,0.042967876,0.067236535,0.091580149,-2.844776845
1.792062998,-1.478349065,-0.11474684,1.421185384,-0.028446557,0.046059659,-0.002879554,0.072202482,0.075563473,1.529576339,0.042045533,0.070834282,0.104209312,-2.843377391
1.799648046,-1.478580258,-0.114380109,1.421171396,-0.027743091,0.044007673,-0.001678641,0.072537581,0.076174784,1.530381277,0.040211822,0.073357335,0.096592557,-2.847159519
1.808315992,-1.4788125,-0.114022925,1.421156665,-0.027869054,0.042862154,-0.001767628,0.072999899,0.076822884,1.531237933,0.055478167,0.077771929,0.102798726,-2.849071205
1.81691885,-1.478999671,-0.113659039,1.421096212,-0.022460468,0.043666238,-0.007254431,0.073365137,0.077306226,1.532140925,0.043828638,0.058001099,0.108359025,-2.85776453
1.825612068,-1.479188387,-0.113310748,1.421039092,-0.022645938,0.041795003,-0.006854309,0.0740631,0.077741358,1.533033159,0.083755485,0.052215882,0.107068138,-2.864741215
1.833884954,-1.479336427,-0.112963798,1.420968062,-0.017764883,0.041633973,-0.008523654,0.074615883,0.078215214,1.533863338,0.066334021,0.056862693,0.099621505,-2.866950261
1.841464043,-1.479442928,-0.112625851,1.420889679,-0.012780064,0.040553675,-0.009405931,0.074964921,0.078729266,1.534636388,0.041884588,0.061686191,0.092765991,-2.888308327
1.850273848,-1.479563593,-0.112312616,1.420849029,-0.014479806,0.037588202,-0.004877977,0.075659845,0.079354587,1.535403371,0.083390837,0.075038599,0.092037946,-2.894947405
1.858304977,-1.479640581,-0.11199445,1.420805167,-0.009238536,0.038179889,-0.005263498,0.076256726,0.080023861,1.536200222,0.071625649,0.080312838,0.095622048,-2.912290681
1.866704941,-1.47968438,-0.111689567,1.420753962,-0.005255911,0.036585923,-0.006144601,0.076699015,0.080614315,1.536992785,0.053074771,0.070854452,0.095107662,-2.930061785
1.875159025,-1.479722835,-0.111404743,1.42074462,-0.004614569,0.03417887,-0.001121066,0.077325533,0.081355397,1.537760447,0.075182107,0.088929825,0.092119436,-2.944501116
1.883261919,-1.479705854,-0.111086685,1.420704741,0.002037728,0.038166996,-0.004785435,0.077973239,0.081984664,1.538650093,0.07772472,0.075512057,0.106757456,-2.968442145
1.891950846,-1.479650854,-0.110776815,1.420621816,0.006599947,0.037184454,-0.009950971,0.078350631,0.082504317,1.539563199,0.045287096,0.062358352,0.109572799,-2.981984309
1.900508881,-1.479567117,-0.110464281,1.420551374,0.010048439,0.037504036,-0.008453139,0.078408432,0.083211664,1.540461482,0.006936119,0.084881676,0.107793847,-3.00203489
1.908931971,-1.479433928,-0.110141338,1.420471582,0.015982719,0.038753167,-0.009575023,0.078330473,0.083986105,1.54146088,-0.009355159,0.092932967,0.119927848,-3.016566653
1.916689873,-1.479271245,-0.109859376,1.420389798,0.019521926,0.033835428,-0.009814072,0.078418115,0.084819472,1.542647259,0.010517097,0.100004007,0.142365413,-3.025888426
1.924880981,-1.479075411,-0.109572286,1.420308134,0.023500048,0.034450801,-0.009799645,0.078241253,0.085699066,1.543699234,-0.021223407,0.105551272,0.126237065,-3.038277945
1.933114052,-1.478849239,-0.109303726,1.420234315,0.027140739,0.032227165,-0.008858309,0.077995666,0.086765299,1.544707814,-0.029470433,0.127947893,0.121029594,-3.0514631
1.942527056,-1.478580745,-0.109066467,1.420154144,0.032219264,0.028471067,-0.009620446,0.077423967,0.087767655,1.545896543,-0.068603992,0.120282766,0.142647472,-3.064888274
1.950150013,-1.478286417,-0.108816303,1.420120731,0.035319388,0.030019719,-0.004009578,0.076954529,0.088716009,1.546855154,-0.05633255,0.113802451,0.115033302,-3.074027848
1.958415985,-1.47794224,-0.108578732,1.420114067,0.041301159,0.028508526,-0.000799649,0.076649446,0.089596872,1.547890741,-0.036609857,0.105703542,0.124270474,-3.090492052
1.966708899,-1.477618984,-0.108402494,1.420082009,0.038790697,0.021148563,-0.00384702,0.076141499,0.090370706,1.548978355,-0.060953672,0.092860192,0.130513605,-3.100650912
1.974851847,-1.477258878,-0.108208379,1.420062649,0.04321277,0.023293828,-0.002323141,0.075591239,0.090823778,1.549937549,-0.066031256,0.054368621,0.115103294,-3.106544788
1.983530998,-1.476879516,-0.108038745,1.420039878,0.045523395,0.020356008,-0.002732537,0.074861748,0.091198286,1.551168201,-0.087538885,0.044940937,0.14767832,-3.11901531
1.992548943,-1.476506362,-0.107881787,1.420029596,0.044778461,0.018834947,-0.001233932,0.074234031,0.091314299,1.552221458,-0.07532604,0.013921572,0.126390757,-3.115029696
2.000956059,-1.476125848,-0.107735508,1.420042712,0.045661739,0.017553589,0.001573925,0.073740273,0.091463632,1.553404714,-0.059251005,0.017919927,0.141990697,-3.114187073
2.008518934,-1.475717764,-0.107585817,1.420053957,0.04897008,0.017962832,0.001349438,0.073066715,0.091426891,1.554443989,-0.080826889,-0.004408893,0.124713019,-3.125794773
